candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack,strong_stack,220570,550684.15625,346624.576156903,351588.9375,0.013880141161761972,0.008297575964263615,0.008701621286824843,0.014119788234511765
fixed_blend_0_w0p75_fixed_blend,fixed_blend,220570,550684.15625,346684.2698464193,351588.9375,0.01369435168897426,0.008475391189076809,0.008365928652817517,0.013950005618651562
aggressive_rls_prediction,strong_base,220570,550684.15625,346688.0179518977,351588.9375,0.013663995341545321,0.008451145604312926,0.008531950396721038,0.013939345142514048
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,220570,550684.15625,346718.10726672347,351588.9375,0.013557239743452975,0.008071086022765184,0.00847045195632371,0.013853764193808127
conservative_rls_prediction,strong_base,220570,550684.15625,346787.1607991017,351588.9375,0.01338649796187803,0.00835386192412868,0.00794417323976924,0.013657360026858911
baseline_prediction,strong_base,220570,550684.15625,346908.4295821776,351588.9375,0.012974555074330452,0.007663911682827762,0.007968975491955927,0.013312443648265782
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,220570,550684.15625,346995.1658603223,351588.9375,0.012768486617505959,0.007300513161121125,0.00790451712153137,0.013065745675452822
tabm_prediction,strong_base,220570,550684.15625,347021.70703125,351588.9375,0.012714433670043945,0.007905185222625732,0.00765319262341938,0.012990256466047123
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,220570,550684.15625,347229.42222165334,351588.9375,0.012118577810045616,0.006890110116042791,0.007226786764613341,0.012399466574077422
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,220570,550684.15625,347546.0860214957,351588.9375,0.011230449280882326,0.006167613410948292,0.00663452585034446,0.011498801717856444
tabm_s17_tabm_prediction,strong_base,220570,550684.15625,347563.71875,351588.9375,0.011405551433563232,0.0062885284423828125,0.004866054030606486,0.011448650172618091
tabm_s23_aux8_tabm_prediction,strong_base,220570,550684.15625,347741.18359375,351588.9375,0.0107208251953125,0.008289992809295654,0.002539667913244367,0.010943899240999255
tree_prediction,strong_base,220570,550684.15625,348330.0129960151,351588.9375,0.009038628436346664,0.004341504125696116,0.006679726189592948,0.009269132661447577
xgboost_prediction,strong_base,220570,550684.15625,348354.2319782323,351588.9375,0.008885961677169662,0.003951233754835193,0.006935514424675187,0.009200248292134394
lightgbm_prediction,strong_base,220570,550684.15625,348420.0898166165,351588.9375,0.008670747514366117,0.003725620851497302,0.006522201040301647,0.009012933415697977
ridge_calibrated_prediction,strong_base,220570,550684.15625,350346.64625414315,351588.9375,0.003601423724973385,0.002012621878590526,0.001367031416985727,0.003533362723782685
